Bundesland,Meldedatum,Geschlecht,Altersgruppe,Neuinfektionen
Baden-Württemberg,2020-02-25,M,A15-A34,1
Baden-Württemberg,2020-02-25,W,A15-A34,1
Baden-Württemberg,2020-02-26,M,A15-A34,1
Baden-Württemberg,2020-02-26,M,A35-A59,2
Baden-Württemberg,2020-02-26,M,A60-A79,1
Baden-Württemberg,2020-02-26,W,A15-A34,1
Baden-Württemberg,2020-02-27,M,A15-A34,1
Baden-Württemberg,2020-02-27,M,A60-A79,1
Baden-Württemberg,2020-02-28,M,A15-A34,1
Baden-Württemberg,2020-02-28,M,A35-A59,2
Baden-Württemberg,2020-02-29,M,A35-A59,1
Baden-Württemberg,2020-02-29,W,A35-A59,1
Baden-Württemberg,2020-03-02,M,A15-A34,2
Baden-Württemberg,2020-03-02,M,A35-A59,4
Baden-Württemberg,2020-03-02,M,A60-A79,2
Baden-Württemberg,2020-03-02,M,A80+,1
Baden-Württemberg,2020-03-02,W,A15-A34,1
Baden-Württemberg,2020-03-02,W,A35-A59,1
Baden-Württemberg,2020-03-03,M,A05-A14,1
Baden-Württemberg,2020-03-03,M,A15-A34,2
Baden-Württemberg,2020-03-03,M,A35-A59,4
Baden-Württemberg,2020-03-03,W,A15-A34,1
Baden-Württemberg,2020-03-03,W,A35-A59,3
Baden-Württemberg,2020-03-04,M,A15-A34,3
Baden-Württemberg,2020-03-04,M,A35-A59,13
Baden-Württemberg,2020-03-04,M,A60-A79,3
Baden-Württemberg,2020-03-04,M,A80+,1
Baden-Württemberg,2020-03-04,W,A15-A34,7
Baden-Württemberg,2020-03-04,W,A35-A59,6
Baden-Württemberg,2020-03-04,W,A60-A79,2
Baden-Württemberg,2020-03-04,W,A80+,2
Baden-Württemberg,2020-03-05,M,A00-A04,1
Baden-Württemberg,2020-03-05,M,A15-A34,7
Baden-Württemberg,2020-03-05,M,A35-A59,9
Baden-Württemberg,2020-03-05,M,A60-A79,2
Baden-Württemberg,2020-03-05,W,A15-A34,6
Baden-Württemberg,2020-03-05,W,A35-A59,9
Baden-Württemberg,2020-03-05,W,A60-A79,1
Baden-Württemberg,2020-03-06,M,A05-A14,2
Baden-Württemberg,2020-03-06,M,A15-A34,2
Baden-Württemberg,2020-03-06,M,A35-A59,15
Baden-Württemberg,2020-03-06,M,A60-A79,4
Baden-Württemberg,2020-03-06,M,A80+,1
Baden-Württemberg,2020-03-06,W,A05-A14,1
Baden-Württemberg,2020-03-06,W,A15-A34,3
Baden-Württemberg,2020-03-06,W,A35-A59,13
Baden-Württemberg,2020-03-06,W,A60-A79,1
Baden-Württemberg,2020-03-06,W,A80+,3
Baden-Württemberg,2020-03-07,M,A05-A14,1
Baden-Württemberg,2020-03-07,M,A15-A34,1
Baden-Württemberg,2020-03-07,M,A35-A59,11
Baden-Württemberg,2020-03-07,M,A60-A79,4
Baden-Württemberg,2020-03-07,W,A05-A14,1
Baden-Württemberg,2020-03-07,W,A15-A34,2
Baden-Württemberg,2020-03-07,W,A35-A59,7
Baden-Württemberg,2020-03-07,W,A60-A79,5
Baden-Württemberg,2020-03-08,M,A00-A04,1
Baden-Württemberg,2020-03-08,M,A15-A34,1
Baden-Württemberg,2020-03-08,M,A35-A59,6
Baden-Württemberg,2020-03-08,W,A05-A14,1
Baden-Württemberg,2020-03-08,W,A15-A34,2
Baden-Württemberg,2020-03-08,W,A35-A59,3
Baden-Württemberg,2020-03-08,W,A60-A79,1
Baden-Württemberg,2020-03-09,M,A00-A04,1
Baden-Württemberg,2020-03-09,M,A05-A14,1
Baden-Württemberg,2020-03-09,M,A15-A34,6
Baden-Württemberg,2020-03-09,M,A35-A59,9
Baden-Württemberg,2020-03-09,M,A60-A79,3
Baden-Württemberg,2020-03-09,M,A80+,1
Baden-Württemberg,2020-03-09,W,A00-A04,1
Baden-Württemberg,2020-03-09,W,A05-A14,1
Baden-Württemberg,2020-03-09,W,A15-A34,6
Baden-Württemberg,2020-03-09,W,A35-A59,17
Baden-Württemberg,2020-03-09,W,A60-A79,1
Baden-Württemberg,2020-03-09,W,A80+,1
Baden-Württemberg,2020-03-10,M,A05-A14,3
Baden-Württemberg,2020-03-10,M,A15-A34,13
Baden-Württemberg,2020-03-10,M,A35-A59,37
Baden-Württemberg,2020-03-10,M,A60-A79,12
Baden-Württemberg,2020-03-10,W,A00-A04,1
Baden-Württemberg,2020-03-10,W,A05-A14,2
Baden-Württemberg,2020-03-10,W,A15-A34,8
Baden-Württemberg,2020-03-10,W,A35-A59,25
Baden-Württemberg,2020-03-10,W,A60-A79,7
Baden-Württemberg,2020-03-10,W,A80+,1
Baden-Württemberg,2020-03-10,W,unbekannt,1
Baden-Württemberg,2020-03-11,M,A00-A04,1
Baden-Württemberg,2020-03-11,M,A05-A14,1
Baden-Württemberg,2020-03-11,M,A15-A34,17
Baden-Württemberg,2020-03-11,M,A35-A59,37
Baden-Württemberg,2020-03-11,M,A60-A79,13
Baden-Württemberg,2020-03-11,M,A80+,2
Baden-Württemberg,2020-03-11,W,A05-A14,1
Baden-Württemberg,2020-03-11,W,A15-A34,15
Baden-Württemberg,2020-03-11,W,A35-A59,35
Baden-Württemberg,2020-03-11,W,A60-A79,14
Baden-Württemberg,2020-03-11,W,unbekannt,1
Baden-Württemberg,2020-03-12,M,A15-A34,23
Baden-Württemberg,2020-03-12,M,A35-A59,50
Baden-Württemberg,2020-03-12,M,A60-A79,13
Baden-Württemberg,2020-03-12,M,A80+,4
Baden-Württemberg,2020-03-12,M,unbekannt,1
Baden-Württemberg,2020-03-12,W,A05-A14,3
Baden-Württemberg,2020-03-12,W,A15-A34,18
Baden-Württemberg,2020-03-12,W,A35-A59,52
Baden-Württemberg,2020-03-12,W,A60-A79,8
Baden-Württemberg,2020-03-12,W,A80+,2
Baden-Württemberg,2020-03-13,M,A05-A14,4
Baden-Württemberg,2020-03-13,M,A15-A34,37
Baden-Württemberg,2020-03-13,M,A35-A59,89
Baden-Württemberg,2020-03-13,M,A60-A79,28
Baden-Württemberg,2020-03-13,M,A80+,2
Baden-Württemberg,2020-03-13,M,unbekannt,1
Baden-Württemberg,2020-03-13,W,A05-A14,4
Baden-Württemberg,2020-03-13,W,A15-A34,40
Baden-Württemberg,2020-03-13,W,A35-A59,68
Baden-Württemberg,2020-03-13,W,A60-A79,18
Baden-Württemberg,2020-03-13,W,A80+,3
Baden-Württemberg,2020-03-14,M,A00-A04,4
Baden-Württemberg,2020-03-14,M,A05-A14,3
Baden-Württemberg,2020-03-14,M,A15-A34,49
Baden-Württemberg,2020-03-14,M,A35-A59,93
Baden-Württemberg,2020-03-14,M,A60-A79,29
Baden-Württemberg,2020-03-14,M,A80+,6
Baden-Württemberg,2020-03-14,W,A00-A04,1
Baden-Württemberg,2020-03-14,W,A05-A14,6
Baden-Württemberg,2020-03-14,W,A15-A34,44
Baden-Württemberg,2020-03-14,W,A35-A59,62
Baden-Württemberg,2020-03-14,W,A60-A79,23
Baden-Württemberg,2020-03-14,W,A80+,2
Baden-Württemberg,2020-03-14,unbekannt,A00-A04,1
Baden-Württemberg,2020-03-15,M,A05-A14,2
Baden-Württemberg,2020-03-15,M,A15-A34,28
Baden-Württemberg,2020-03-15,M,A35-A59,46
Baden-Württemberg,2020-03-15,M,A60-A79,13
Baden-Württemberg,2020-03-15,W,A05-A14,3
Baden-Württemberg,2020-03-15,W,A15-A34,25
Baden-Württemberg,2020-03-15,W,A35-A59,30
Baden-Württemberg,2020-03-15,W,A60-A79,9
Baden-Württemberg,2020-03-15,W,A80+,2
Baden-Württemberg,2020-03-15,unbekannt,A15-A34,1
Baden-Württemberg,2020-03-16,M,A00-A04,2
Baden-Württemberg,2020-03-16,M,A05-A14,4
Baden-Württemberg,2020-03-16,M,A15-A34,63
Baden-Württemberg,2020-03-16,M,A35-A59,104
Baden-Württemberg,2020-03-16,M,A60-A79,45
Baden-Württemberg,2020-03-16,M,A80+,8
Baden-Württemberg,2020-03-16,M,unbekannt,1
Baden-Württemberg,2020-03-16,W,A00-A04,2
Baden-Württemberg,2020-03-16,W,A05-A14,6
Baden-Württemberg,2020-03-16,W,A15-A34,50
Baden-Württemberg,2020-03-16,W,A35-A59,83
Baden-Württemberg,2020-03-16,W,A60-A79,24
Baden-Württemberg,2020-03-16,W,A80+,2
Baden-Württemberg,2020-03-17,M,A00-A04,3
Baden-Württemberg,2020-03-17,M,A05-A14,12
Baden-Württemberg,2020-03-17,M,A15-A34,67
Baden-Württemberg,2020-03-17,M,A35-A59,159
Baden-Württemberg,2020-03-17,M,A60-A79,51
Baden-Württemberg,2020-03-17,M,A80+,17
Baden-Württemberg,2020-03-17,W,A00-A04,1
Baden-Württemberg,2020-03-17,W,A05-A14,4
Baden-Württemberg,2020-03-17,W,A15-A34,80
Baden-Württemberg,2020-03-17,W,A35-A59,128
Baden-Württemberg,2020-03-17,W,A60-A79,36
Baden-Württemberg,2020-03-17,W,A80+,8
Baden-Württemberg,2020-03-18,M,A05-A14,9
Baden-Württemberg,2020-03-18,M,A15-A34,103
Baden-Württemberg,2020-03-18,M,A35-A59,196
Baden-Württemberg,2020-03-18,M,A60-A79,67
Baden-Württemberg,2020-03-18,M,A80+,12
Baden-Württemberg,2020-03-18,M,unbekannt,1
Baden-Württemberg,2020-03-18,W,A00-A04,2
Baden-Württemberg,2020-03-18,W,A05-A14,5
Baden-Württemberg,2020-03-18,W,A15-A34,87
Baden-Württemberg,2020-03-18,W,A35-A59,139
Baden-Württemberg,2020-03-18,W,A60-A79,58
Baden-Württemberg,2020-03-18,W,A80+,12
Baden-Württemberg,2020-03-18,unbekannt,A05-A14,1
Baden-Württemberg,2020-03-18,unbekannt,A15-A34,4
Baden-Württemberg,2020-03-19,M,A00-A04,5
Baden-Württemberg,2020-03-19,M,A05-A14,2
Baden-Württemberg,2020-03-19,M,A15-A34,58
Baden-Württemberg,2020-03-19,M,A35-A59,140
Baden-Württemberg,2020-03-19,M,A60-A79,46
Baden-Württemberg,2020-03-19,M,A80+,10
Baden-Württemberg,2020-03-19,M,unbekannt,3
Baden-Württemberg,2020-03-19,W,A00-A04,3
Baden-Württemberg,2020-03-19,W,A15-A34,43
Baden-Württemberg,2020-03-19,W,A35-A59,104
Baden-Württemberg,2020-03-19,W,A60-A79,35
Baden-Württemberg,2020-03-19,W,A80+,9
Baden-Württemberg,2020-03-19,W,unbekannt,2
Baden-Württemberg,2020-03-19,unbekannt,A35-A59,1
Baden-Württemberg,2020-03-20,M,A15-A34,16
Baden-Württemberg,2020-03-20,M,A35-A59,26
Baden-Württemberg,2020-03-20,M,A60-A79,11
Baden-Württemberg,2020-03-20,M,A80+,6
Baden-Württemberg,2020-03-20,M,unbekannt,1
Baden-Württemberg,2020-03-20,W,A15-A34,11
Baden-Württemberg,2020-03-20,W,A35-A59,22
Baden-Württemberg,2020-03-20,W,A60-A79,8
Baden-Württemberg,2020-03-20,W,A80+,5
Bayern,2020-01-28,M,A15-A34,1
Bayern,2020-01-28,M,A35-A59,1
Bayern,2020-01-29,M,A15-A34,1
Bayern,2020-01-29,W,A15-A34,1
Bayern,2020-01-31,M,A35-A59,2
Bayern,2020-01-31,W,A00-A04,1
Bayern,2020-02-03,M,A15-A34,1
Bayern,2020-02-04,M,A00-A04,1
Bayern,2020-02-04,M,A35-A59,1
Bayern,2020-02-06,W,A35-A59,1
Bayern,2020-02-07,W,A35-A59,1
Bayern,2020-02-11,M,A00-A04,1
Bayern,2020-02-11,M,A35-A59,1
Bayern,2020-02-12,W,A35-A59,1
Bayern,2020-02-27,M,A60-A79,1
Bayern,2020-02-28,M,A15-A34,1
Bayern,2020-02-28,M,A35-A59,1
Bayern,2020-02-28,W,A35-A59,1
Bayern,2020-02-29,M,A35-A59,1
Bayern,2020-03-01,M,A35-A59,2
Bayern,2020-03-01,W,A35-A59,1
Bayern,2020-03-02,M,A35-A59,3
Bayern,2020-03-02,M,A60-A79,1
Bayern,2020-03-02,W,A15-A34,1
Bayern,2020-03-02,W,A35-A59,1
Bayern,2020-03-03,M,A15-A34,1
Bayern,2020-03-03,M,A35-A59,3
Bayern,2020-03-03,W,A05-A14,1
Bayern,2020-03-03,W,A35-A59,1
Bayern,2020-03-04,M,A15-A34,1
Bayern,2020-03-04,M,A35-A59,5
Bayern,2020-03-04,W,A15-A34,2
Bayern,2020-03-04,W,A35-A59,2
Bayern,2020-03-05,M,A05-A14,1
Bayern,2020-03-05,M,A15-A34,2
Bayern,2020-03-05,M,A35-A59,8
Bayern,2020-03-05,M,A60-A79,1
Bayern,2020-03-05,M,A80+,1
Bayern,2020-03-05,W,A05-A14,1
Bayern,2020-03-05,W,A15-A34,3
Bayern,2020-03-05,W,A35-A59,5
Bayern,2020-03-06,M,A00-A04,1
Bayern,2020-03-06,M,A05-A14,2
Bayern,2020-03-06,M,A15-A34,8
Bayern,2020-03-06,M,A35-A59,16
Bayern,2020-03-06,M,A60-A79,2
Bayern,2020-03-06,W,A05-A14,1
Bayern,2020-03-06,W,A15-A34,4
Bayern,2020-03-06,W,A35-A59,11
Bayern,2020-03-06,W,A60-A79,1
Bayern,2020-03-06,W,A80+,1
Bayern,2020-03-07,M,A15-A34,1
Bayern,2020-03-07,M,A35-A59,4
Bayern,2020-03-07,W,A05-A14,1
Bayern,2020-03-07,W,A15-A34,3
Bayern,2020-03-07,W,A35-A59,5
Bayern,2020-03-07,W,A60-A79,1
Bayern,2020-03-07,W,A80+,1
Bayern,2020-03-08,M,A15-A34,2
Bayern,2020-03-08,M,A35-A59,5
Bayern,2020-03-08,W,A05-A14,2
Bayern,2020-03-08,W,A15-A34,1
Bayern,2020-03-08,W,A35-A59,4
Bayern,2020-03-09,M,A05-A14,5
Bayern,2020-03-09,M,A15-A34,11
Bayern,2020-03-09,M,A35-A59,24
Bayern,2020-03-09,M,A60-A79,5
Bayern,2020-03-09,W,A05-A14,1
Bayern,2020-03-09,W,A15-A34,11
Bayern,2020-03-09,W,A35-A59,18
Bayern,2020-03-09,W,A60-A79,4
Bayern,2020-03-10,M,A05-A14,3
Bayern,2020-03-10,M,A15-A34,11
Bayern,2020-03-10,M,A35-A59,24
Bayern,2020-03-10,M,A60-A79,5
Bayern,2020-03-10,M,A80+,3
Bayern,2020-03-10,M,unbekannt,1
Bayern,2020-03-10,W,A00-A04,1
Bayern,2020-03-10,W,A05-A14,6
Bayern,2020-03-10,W,A15-A34,10
Bayern,2020-03-10,W,A35-A59,20
Bayern,2020-03-10,W,A60-A79,5
Bayern,2020-03-10,W,A80+,1
Bayern,2020-03-11,M,A00-A04,1
Bayern,2020-03-11,M,A05-A14,5
Bayern,2020-03-11,M,A15-A34,4
Bayern,2020-03-11,M,A35-A59,28
Bayern,2020-03-11,M,A60-A79,16
Bayern,2020-03-11,W,A05-A14,6
Bayern,2020-03-11,W,A15-A34,16
Bayern,2020-03-11,W,A35-A59,20
Bayern,2020-03-11,W,A60-A79,4
Bayern,2020-03-11,W,A80+,1
Bayern,2020-03-12,M,A05-A14,3
Bayern,2020-03-12,M,A15-A34,10
Bayern,2020-03-12,M,A35-A59,43
Bayern,2020-03-12,M,A60-A79,7
Bayern,2020-03-12,M,A80+,2
Bayern,2020-03-12,W,A05-A14,1
Bayern,2020-03-12,W,A15-A34,16
Bayern,2020-03-12,W,A35-A59,26
Bayern,2020-03-12,W,A60-A79,5
Bayern,2020-03-12,unbekannt,A35-A59,2
Bayern,2020-03-13,M,A05-A14,9
Bayern,2020-03-13,M,A15-A34,21
Bayern,2020-03-13,M,A35-A59,65
Bayern,2020-03-13,M,A60-A79,12
Bayern,2020-03-13,M,A80+,4
Bayern,2020-03-13,M,unbekannt,2
Bayern,2020-03-13,W,A05-A14,6
Bayern,2020-03-13,W,A15-A34,35
Bayern,2020-03-13,W,A35-A59,54
Bayern,2020-03-13,W,A60-A79,14
Bayern,2020-03-13,W,A80+,1
Bayern,2020-03-13,W,unbekannt,1
Bayern,2020-03-13,unbekannt,A15-A34,1
Bayern,2020-03-13,unbekannt,A35-A59,2
Bayern,2020-03-13,unbekannt,A80+,1
Bayern,2020-03-13,unbekannt,unbekannt,2
Bayern,2020-03-14,M,A05-A14,5
Bayern,2020-03-14,M,A15-A34,27
Bayern,2020-03-14,M,A35-A59,42
Bayern,2020-03-14,M,A60-A79,14
Bayern,2020-03-14,M,A80+,1
Bayern,2020-03-14,W,A00-A04,1
Bayern,2020-03-14,W,A05-A14,6
Bayern,2020-03-14,W,A15-A34,26
Bayern,2020-03-14,W,A35-A59,43
Bayern,2020-03-14,W,A60-A79,11
Bayern,2020-03-14,W,A80+,4
Bayern,2020-03-15,M,A05-A14,2
Bayern,2020-03-15,M,A15-A34,20
Bayern,2020-03-15,M,A35-A59,30
Bayern,2020-03-15,M,A60-A79,8
Bayern,2020-03-15,M,A80+,2
Bayern,2020-03-15,M,unbekannt,1
Bayern,2020-03-15,W,A05-A14,2
Bayern,2020-03-15,W,A15-A34,12
Bayern,2020-03-15,W,A35-A59,22
Bayern,2020-03-15,W,A60-A79,10
Bayern,2020-03-15,W,A80+,3
Bayern,2020-03-15,unbekannt,A35-A59,1
Bayern,2020-03-16,M,A00-A04,3
Bayern,2020-03-16,M,A05-A14,2
Bayern,2020-03-16,M,A15-A34,30
Bayern,2020-03-16,M,A35-A59,47
Bayern,2020-03-16,M,A60-A79,16
Bayern,2020-03-16,M,A80+,1
Bayern,2020-03-16,M,unbekannt,1
Bayern,2020-03-16,W,A00-A04,1
Bayern,2020-03-16,W,A05-A14,2
Bayern,2020-03-16,W,A15-A34,31
Bayern,2020-03-16,W,A35-A59,53
Bayern,2020-03-16,W,A60-A79,14
Bayern,2020-03-16,W,A80+,2
Bayern,2020-03-16,W,unbekannt,2
Bayern,2020-03-17,M,A00-A04,2
Bayern,2020-03-17,M,A05-A14,11
Bayern,2020-03-17,M,A15-A34,52
Bayern,2020-03-17,M,A35-A59,107
Bayern,2020-03-17,M,A60-A79,33
Bayern,2020-03-17,M,A80+,4
Bayern,2020-03-17,W,A00-A04,3
Bayern,2020-03-17,W,A05-A14,9
Bayern,2020-03-17,W,A15-A34,58
Bayern,2020-03-17,W,A35-A59,87
Bayern,2020-03-17,W,A60-A79,18
Bayern,2020-03-17,W,A80+,6
Bayern,2020-03-17,W,unbekannt,4
Bayern,2020-03-18,M,A00-A04,7
Bayern,2020-03-18,M,A05-A14,5
Bayern,2020-03-18,M,A15-A34,60
Bayern,2020-03-18,M,A35-A59,168
Bayern,2020-03-18,M,A60-A79,41
Bayern,2020-03-18,M,A80+,8
Bayern,2020-03-18,M,unbekannt,1
Bayern,2020-03-18,W,A00-A04,2
Bayern,2020-03-18,W,A05-A14,6
Bayern,2020-03-18,W,A15-A34,71
Bayern,2020-03-18,W,A35-A59,110
Bayern,2020-03-18,W,A60-A79,30
Bayern,2020-03-18,W,A80+,7
Bayern,2020-03-18,unbekannt,A80+,1
Bayern,2020-03-19,M,A00-A04,3
Bayern,2020-03-19,M,A05-A14,4
Bayern,2020-03-19,M,A15-A34,62
Bayern,2020-03-19,M,A35-A59,137
Bayern,2020-03-19,M,A60-A79,42
Bayern,2020-03-19,M,A80+,6
Bayern,2020-03-19,M,unbekannt,1
Bayern,2020-03-19,W,A00-A04,3
Bayern,2020-03-19,W,A05-A14,5
Bayern,2020-03-19,W,A15-A34,53
Bayern,2020-03-19,W,A35-A59,110
Bayern,2020-03-19,W,A60-A79,21
Bayern,2020-03-19,W,A80+,12
Bayern,2020-03-19,W,unbekannt,3
Bayern,2020-03-19,unbekannt,A05-A14,1
Bayern,2020-03-19,unbekannt,A15-A34,1
Bayern,2020-03-19,unbekannt,A35-A59,2
Bayern,2020-03-19,unbekannt,A60-A79,1
Bayern,2020-03-20,M,A05-A14,6
Bayern,2020-03-20,M,A15-A34,42
Bayern,2020-03-20,M,A35-A59,83
Bayern,2020-03-20,M,A60-A79,35
Bayern,2020-03-20,M,A80+,5
Bayern,2020-03-20,M,unbekannt,6
Bayern,2020-03-20,W,A05-A14,7
Bayern,2020-03-20,W,A15-A34,28
Bayern,2020-03-20,W,A35-A59,71
Bayern,2020-03-20,W,A60-A79,25
Bayern,2020-03-20,W,A80+,10
Bayern,2020-03-20,W,unbekannt,2
Bayern,2020-03-20,unbekannt,A00-A04,1
Bayern,2020-03-20,unbekannt,A05-A14,1
Bayern,2020-03-20,unbekannt,A15-A34,1
Bayern,2020-03-20,unbekannt,A35-A59,2
Berlin,2020-03-03,M,A15-A34,1
Berlin,2020-03-03,M,A35-A59,2
Berlin,2020-03-03,M,A60-A79,1
Berlin,2020-03-03,W,A15-A34,1
Berlin,2020-03-04,M,A15-A34,1
Berlin,2020-03-04,W,A15-A34,2
Berlin,2020-03-05,M,A00-A04,1
Berlin,2020-03-05,M,A35-A59,4
Berlin,2020-03-05,W,A05-A14,1
Berlin,2020-03-05,W,A15-A34,2
Berlin,2020-03-05,W,A35-A59,3
Berlin,2020-03-06,M,A35-A59,1
Berlin,2020-03-06,W,A35-A59,3
Berlin,2020-03-07,M,A35-A59,1
Berlin,2020-03-08,M,A15-A34,4
Berlin,2020-03-08,M,A35-A59,1
Berlin,2020-03-08,W,A15-A34,5
Berlin,2020-03-08,W,A35-A59,1
Berlin,2020-03-09,M,A15-A34,5
Berlin,2020-03-09,M,A35-A59,8
Berlin,2020-03-09,W,A15-A34,6
Berlin,2020-03-09,W,A35-A59,1
Berlin,2020-03-09,W,A60-A79,2
Berlin,2020-03-10,M,A15-A34,10
Berlin,2020-03-10,M,A35-A59,4
Berlin,2020-03-10,W,A15-A34,9
Berlin,2020-03-10,W,A35-A59,9
Berlin,2020-03-10,W,A60-A79,1
Berlin,2020-03-11,M,A00-A04,2
Berlin,2020-03-11,M,A05-A14,1
Berlin,2020-03-11,M,A15-A34,11
Berlin,2020-03-11,M,A35-A59,11
Berlin,2020-03-11,M,A60-A79,4
Berlin,2020-03-11,W,A00-A04,1
Berlin,2020-03-11,W,A15-A34,8
Berlin,2020-03-11,W,A35-A59,5
Berlin,2020-03-12,M,A00-A04,1
Berlin,2020-03-12,M,A15-A34,8
Berlin,2020-03-12,M,A35-A59,12
Berlin,2020-03-12,M,A60-A79,3
Berlin,2020-03-12,W,A15-A34,9
Berlin,2020-03-12,W,A35-A59,9
Berlin,2020-03-12,W,A60-A79,4
Berlin,2020-03-12,W,A80+,1
Berlin,2020-03-13,M,A05-A14,1
Berlin,2020-03-13,M,A15-A34,15
Berlin,2020-03-13,M,A35-A59,20
Berlin,2020-03-13,W,A05-A14,1
Berlin,2020-03-13,W,A15-A34,10
Berlin,2020-03-13,W,A35-A59,9
Berlin,2020-03-13,W,A60-A79,3
Berlin,2020-03-14,M,A00-A04,2
Berlin,2020-03-14,M,A15-A34,6
Berlin,2020-03-14,M,A35-A59,10
Berlin,2020-03-14,M,A60-A79,3
Berlin,2020-03-14,W,A15-A34,1
Berlin,2020-03-14,W,A35-A59,6
Berlin,2020-03-14,W,A60-A79,1
Berlin,2020-03-15,M,A15-A34,5
Berlin,2020-03-15,M,A35-A59,6
Berlin,2020-03-15,M,A60-A79,2
Berlin,2020-03-15,W,A15-A34,2
Berlin,2020-03-15,W,A35-A59,9
Berlin,2020-03-15,W,A60-A79,1
Berlin,2020-03-16,M,A15-A34,9
Berlin,2020-03-16,M,A35-A59,22
Berlin,2020-03-16,M,A60-A79,3
Berlin,2020-03-16,M,unbekannt,1
Berlin,2020-03-16,W,A05-A14,1
Berlin,2020-03-16,W,A15-A34,9
Berlin,2020-03-16,W,A35-A59,11
Berlin,2020-03-16,W,A60-A79,2
Berlin,2020-03-16,W,A80+,2
Berlin,2020-03-17,M,A05-A14,4
Berlin,2020-03-17,M,A15-A34,20
Berlin,2020-03-17,M,A35-A59,22
Berlin,2020-03-17,M,A60-A79,3
Berlin,2020-03-17,M,A80+,1
Berlin,2020-03-17,W,A05-A14,2
Berlin,2020-03-17,W,A15-A34,16
Berlin,2020-03-17,W,A35-A59,25
Berlin,2020-03-17,W,A60-A79,3
Berlin,2020-03-18,M,A00-A04,3
Berlin,2020-03-18,M,A05-A14,1
Berlin,2020-03-18,M,A15-A34,24
Berlin,2020-03-18,M,A35-A59,49
Berlin,2020-03-18,M,A60-A79,6
Berlin,2020-03-18,M,A80+,1
Berlin,2020-03-18,M,unbekannt,1
Berlin,2020-03-18,W,A05-A14,3
Berlin,2020-03-18,W,A15-A34,20
Berlin,2020-03-18,W,A35-A59,28
Berlin,2020-03-18,W,A60-A79,6
Berlin,2020-03-18,W,A80+,2
Berlin,2020-03-19,M,A05-A14,2
Berlin,2020-03-19,M,A15-A34,28
Berlin,2020-03-19,M,A35-A59,58
Berlin,2020-03-19,M,A60-A79,14
Berlin,2020-03-19,M,A80+,2
Berlin,2020-03-19,M,unbekannt,2
Berlin,2020-03-19,W,A05-A14,3
Berlin,2020-03-19,W,A15-A34,34
Berlin,2020-03-19,W,A35-A59,29
Berlin,2020-03-19,W,A60-A79,9
Berlin,2020-03-20,M,A05-A14,5
Berlin,2020-03-20,M,A15-A34,18
Berlin,2020-03-20,M,A35-A59,21
Berlin,2020-03-20,M,A60-A79,4
Berlin,2020-03-20,W,A05-A14,4
Berlin,2020-03-20,W,A15-A34,17
Berlin,2020-03-20,W,A35-A59,22
Berlin,2020-03-20,W,A60-A79,1
Brandenburg,2020-03-01,M,A35-A59,1
Brandenburg,2020-03-05,W,A35-A59,1
Brandenburg,2020-03-08,M,A60-A79,3
Brandenburg,2020-03-09,M,A15-A34,2
Brandenburg,2020-03-09,W,A35-A59,2
Brandenburg,2020-03-10,M,A15-A34,1
Brandenburg,2020-03-10,M,A35-A59,5
Brandenburg,2020-03-10,M,A60-A79,1
Brandenburg,2020-03-10,W,A15-A34,1
Brandenburg,2020-03-10,W,A35-A59,2
Brandenburg,2020-03-10,W,A60-A79,1
Brandenburg,2020-03-11,M,A15-A34,2
Brandenburg,2020-03-11,M,A35-A59,2
Brandenburg,2020-03-11,W,A15-A34,1
Brandenburg,2020-03-11,W,A35-A59,2
Brandenburg,2020-03-11,W,A60-A79,1
Brandenburg,2020-03-12,M,A35-A59,7
Brandenburg,2020-03-12,M,A60-A79,6
Brandenburg,2020-03-12,W,A05-A14,1
Brandenburg,2020-03-12,W,A15-A34,2
Brandenburg,2020-03-12,W,A35-A59,3
Brandenburg,2020-03-12,W,A60-A79,1
Brandenburg,2020-03-13,M,A00-A04,1
Brandenburg,2020-03-13,M,A05-A14,1
Brandenburg,2020-03-13,M,A15-A34,2
Brandenburg,2020-03-13,M,A35-A59,6
Brandenburg,2020-03-13,M,A60-A79,3
Brandenburg,2020-03-13,W,A15-A34,3
Brandenburg,2020-03-13,W,A35-A59,3
Brandenburg,2020-03-13,W,A60-A79,1
Brandenburg,2020-03-14,M,A15-A34,1
Brandenburg,2020-03-14,M,A35-A59,6
Brandenburg,2020-03-14,M,A60-A79,1
Brandenburg,2020-03-14,W,A15-A34,2
Brandenburg,2020-03-14,W,A35-A59,3
Brandenburg,2020-03-15,M,A15-A34,5
Brandenburg,2020-03-15,M,A35-A59,3
Brandenburg,2020-03-15,M,A60-A79,1
Brandenburg,2020-03-15,W,A15-A34,4
Brandenburg,2020-03-15,W,A35-A59,3
Brandenburg,2020-03-15,W,A60-A79,4
Brandenburg,2020-03-16,M,A15-A34,1
Brandenburg,2020-03-16,M,A35-A59,8
Brandenburg,2020-03-16,M,A60-A79,3
Brandenburg,2020-03-16,W,A35-A59,4
Brandenburg,2020-03-16,W,A60-A79,5
Brandenburg,2020-03-17,M,A15-A34,6
Brandenburg,2020-03-17,M,A35-A59,23
Brandenburg,2020-03-17,M,A60-A79,3
Brandenburg,2020-03-17,W,A15-A34,1
Brandenburg,2020-03-17,W,A35-A59,13
Brandenburg,2020-03-17,W,A60-A79,2
Brandenburg,2020-03-18,M,A15-A34,3
