"restriction","lower","estimate","upper","cutoff_date"
"Veranstaltungs-/Versammlungsverbot",-0.0562745793587074,-0.0309748617223304,-0.00567514408595352,2020-04-01
"Ausgangsbeschränkung",-0.196098857518986,-0.173903495857162,-0.151708134195338,2020-04-02
"Beschränkung Einzelhandel",-0.0362690612091189,-0.0118605544111027,0.0125479523869135,2020-04-02
"Beschränkung Restaurants",-0.0623145683069661,-0.0357522400891636,-0.00918991187136098,2020-04-02
"Grenzschließung",-0.0285517428584917,-0.0139980680643754,0.000555606729740843,2020-04-02
"Isolation von Kranken / Gefährdeten",-0.0635799204214132,-0.0351519853708678,-0.00672405032032245,2020-04-02
"Schließung Bildungseinrichtungen / Kitas",-0.0286656003223642,0.00309412649170761,0.0348538533057794,2020-04-02
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0313111417357417,0.00586952441771059,0.0430501905711629,2020-04-02
"Veranstaltungs-/Versammlungsverbot",-0.0510167486799518,-0.0274234414186361,-0.00383013415732035,2020-04-02
"Ausgangsbeschränkung",-0.204984511030386,-0.185287815376592,-0.165591119722797,2020-04-03
"Beschränkung Einzelhandel",-0.0332758880308883,-0.00950129502980979,0.0142732979712687,2020-04-03
"Beschränkung Restaurants",-0.0574513441323164,-0.0315683229970226,-0.00568530186172876,2020-04-03
"Grenzschließung",-0.0303600262382339,-0.0161771425214602,-0.00199425880468663,2020-04-03
"Isolation von Kranken / Gefährdeten",-0.0653678520234941,-0.0379578511297904,-0.0105478502360868,2020-04-03
"Schließung Bildungseinrichtungen / Kitas",-0.0228413858575088,0.00802749630331158,0.0388963784641319,2020-04-03
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0290967876221115,0.00641186406547229,0.0419205157530561,2020-04-03
"Veranstaltungs-/Versammlungsverbot",-0.0467483618195871,-0.0244512731328773,-0.00215418444616759,2020-04-03
"Ausgangsbeschränkung",-0.213136917799401,-0.195457955797248,-0.177778993795094,2020-04-04
"Beschränkung Einzelhandel",-0.0305834740242595,-0.00732380721882634,0.0159358595866068,2020-04-04
"Beschränkung Restaurants",-0.0533813961360332,-0.0281342797006148,-0.00288716326519644,2020-04-04
"Grenzschließung",-0.0319213277322047,-0.0180516703360688,-0.00418201293993285,2020-04-04
"Isolation von Kranken / Gefährdeten",-0.0664792471300487,-0.0398594277248453,-0.0132396083196418,2020-04-04
"Schließung Bildungseinrichtungen / Kitas",-0.0175831989252909,0.0126350651895814,0.0428533293044537,2020-04-04
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0264557659759468,0.00774373888688198,0.0419432437497108,2020-04-04
"Veranstaltungs-/Versammlungsverbot",-0.0441662903221969,-0.0228545708757307,-0.00154285142926458,2020-04-04
"Ausgangsbeschränkung",-0.225355752826208,-0.208536833493167,-0.191717914160126,2020-04-05
"Beschränkung Einzelhandel",-0.0264709430247456,-0.00328168182822692,0.0199075793682917,2020-04-05
"Beschränkung Restaurants",-0.0476300691175594,-0.022526732889946,0.00257660333766741,2020-04-05
"Grenzschließung",-0.0337652256298785,-0.0198926910276582,-0.00602015642543801,2020-04-05
"Isolation von Kranken / Gefährdeten",-0.0670742322094771,-0.0406971897077328,-0.0143201472059885,2020-04-05
"Schließung Bildungseinrichtungen / Kitas",-0.0123407957388481,0.0178702297096308,0.0480812551581097,2020-04-05
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0254794591285671,0.00814762760104745,0.0417747143306621,2020-04-05
"Veranstaltungs-/Versammlungsverbot",-0.0406743300718551,-0.0198236569321094,0.00102701620763622,2020-04-05
"Ausgangsbeschränkung",-0.239442512029119,-0.222743015690944,-0.206043519352769,2020-04-06
"Beschränkung Einzelhandel",-0.0215187679200841,0.00207830996088538,0.0256753878418549,2020-04-06
"Beschränkung Restaurants",-0.0410620056806189,-0.015584914174948,0.00989217733072289,2020-04-06
"Grenzschließung",-0.0360422861522504,-0.0218461799063797,-0.00765007366050893,2020-04-06
"Isolation von Kranken / Gefährdeten",-0.0677112899486304,-0.0410129808712799,-0.0143146717939294,2020-04-06
"Schließung Bildungseinrichtungen / Kitas",-0.00705911944187806,0.0238203091779912,0.0546997377978604,2020-04-06
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.026028016862611,0.00777649976584722,0.0415810163943054,2020-04-06
"Veranstaltungs-/Versammlungsverbot",-0.0363607024413629,-0.0154551556017634,0.00545039123783614,2020-04-06
